Fixedacidity,Volatileacidity,Citricacid,Residualsugar,CL,FreeSO2,TotalS02,Density,PH,Sulphates,d2h
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,0.482
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,0.378
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,0.463
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,0.571
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,0.433
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,0.438
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,0.431
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,0.438
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,0.35
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,0.463
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,0.327
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,0.444
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,0.441
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,0.429
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,0.441
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,0.327
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,0.451
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,0.444
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,0.61
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,0.565
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,0.493
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,0.433
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,0.451
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,0.29
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,0.344
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,0.357
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,0.29
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,0.433
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,0.438
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,0.433
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,0.435
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,0.435
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,0.312
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,0.435
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,0.441
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,0.451
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,0.451
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,0.316
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,0.441
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,0.364
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,0.332
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,0.303
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,0.392
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,0.296
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,0.429
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,0.392
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,0.433
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,0.441
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,0.441
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,0.438
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,0.504
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,0.504
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,0.269
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,0.438
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,0.438
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,0.656
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,0.656
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,0.321
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,0.327
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,0.444
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,0.441
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,0.433
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,0.441
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,0.441
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,0.444
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,0.441
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,0.672
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,0.438
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,0.672
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,0.438
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,0.459
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,0.435
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,0.344
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,0.364
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,0.35
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,0.576
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,0.463
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,0.463
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,0.482
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,0.482
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,0.482
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,0.482
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,0.435
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,0.299
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,0.444
7.6,0.68,0.02,1.3,0.072,9.0,20.0,0.9965,3.17,1.08,0.572
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,0.332
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,0.438
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,0.438
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,0.441
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,0.467
7.3,0.55,0.03,1.6,0.072,17.0,42.0,0.9956,3.37,0.48,0.569
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,0.357
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,0.441
7.9,0.885,0.03,1.8,0.058,4.0,8.0,0.9972,3.36,0.33,0.571
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,0.296
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,0.296
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,0.44
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,0.441
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,0.441
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,0.441
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,0.364
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,0.444
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,0.441
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,0.441
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,0.435
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,0.435
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,0.435
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,0.299
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,0.447
7.4,0.39,0.48,2.0,0.082,14.0,67.0,0.9972,3.34,0.55,0.433
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,0.447
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,0.441
7.9,0.49,0.32,1.9,0.082,17.0,144.0,0.9968,3.2,0.55,0.441
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,0.438
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,0.321
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,0.441
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,0.447
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,0.447
7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,0.438
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,0.467
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,0.338
5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,0.52
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,0.653
9.6,0.32,0.47,1.4,0.056,9.0,24.0,0.99695,3.22,0.82,0.25
8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,1.03,0.435
6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,0.441
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,0.433
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,0.296
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,0.297
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,0.297
7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,0.435
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,0.438
11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.998,3.31,0.88,0.269
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,0.519
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,0.332
11.6,0.44,0.64,2.1,0.059,5.0,15.0,0.998,3.21,0.67,0.344
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,0.463
7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,0.321
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,0.482
8.7,0.625,0.16,2.0,0.101,13.0,49.0,0.9962,3.14,0.57,0.51
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,0.431
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,0.447
7.8,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,0.441
7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59,0.303
7.4,0.53,0.26,2.0,0.101,16.0,72.0,0.9957,3.15,0.57,0.438
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,0.441
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,0.332
8.4,0.635,0.36,2.0,0.089,15.0,55.0,0.99745,3.31,0.57,0.606
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,0.364
8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,0.307
9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.9984,3.39,0.63,0.451
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,0.364
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,0.51
5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,0.437
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,0.327
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,0.312
6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,0.51
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,0.29
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,0.29
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,0.29
7.2,0.645,0.0,1.9,0.097,15.0,39.0,0.99675,3.37,0.58,0.296
7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,0.29
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,0.29
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,0.435
12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,0.392
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,0.321
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,0.166
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,0.166
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,0.327
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,0.441
8.2,0.6,0.17,2.3,0.072,11.0,73.0,0.9963,3.2,0.45,0.435
7.7,0.53,0.06,1.7,0.074,9.0,39.0,0.99615,3.35,0.48,0.321
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,0.327
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,0.332
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,0.327
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,0.482
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,0.441
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,0.327
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,0.435
9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,0.433
6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,0.433
7.7,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,0.438
10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,0.269
7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,0.435
7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,0.576
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,0.459
7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,0.435
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,0.504
11.8,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,0.242
8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,0.586
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,0.479
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,0.303
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,0.338
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,0.378
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,0.338
10.9,0.37,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.78,0.463
8.4,0.715,0.2,2.4,0.076,10.0,38.0,0.99735,3.31,0.64,0.438
7.5,0.65,0.18,7.0,0.088,27.0,94.0,0.99915,3.38,0.77,0.438
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,0.378
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,0.303
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,0.338
10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,0.457
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,0.269
11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,0.299
7.7,0.27,0.68,3.5,0.358,5.0,10.0,0.9972,3.25,1.08,0.216
7.6,0.52,0.12,3.0,0.067,12.0,53.0,0.9971,3.36,0.57,0.431
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,0.269
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,0.451
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,0.451
12.0,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,0.35
7.5,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,0.35
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,0.278
11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,0.433
8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,0.278
11.0,0.2,0.48,2.0,0.343,6.0,18.0,0.9979,3.3,0.71,0.482
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,0.35
6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,0.338
13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,0.307
10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,0.441
10.6,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52,0.455
7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,0.444
7.2,0.65,0.02,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,0.447
6.9,0.67,0.06,2.1,0.08,8.0,33.0,0.99845,3.68,0.71,0.444
7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,0.378
11.1,0.18,0.48,1.5,0.068,7.0,15.0,0.9973,3.22,0.64,0.338
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,0.459
7.4,0.67,0.12,1.6,0.186,5.0,21.0,0.996,3.39,0.54,0.441
8.4,0.65,0.6,2.1,0.112,12.0,90.0,0.9973,3.2,0.52,0.433
10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,0.299
7.6,0.62,0.32,2.2,0.082,7.0,54.0,0.9966,3.36,0.52,0.438
10.3,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,3.19,0.62,0.307
